series,parameter,fusion.type,posterior
A,0,M1-M3,0.938
A,0,M1|M3,0.0617
B,0,M1-M3,0.0239
B,0,M1|M3,0.976
C,1,M1-M3,0.664
C,1,M1|M3,0.336
C,10,M1-M3,0.722
C,10,M1|M3,0.278
C,100,M1-M3,0.886
C,100,M1|M3,0.114
C,1000,M1-M3,0.116
C,1000,M1|M3,0.834
C,10000,M1-M3,0.122
C,10000,M1|M3,0.878
D,0,M1-M2-M3,0.18
D,0,M1-M2|M3,0.162
D,0,M1|M2-M3,0.142
D,0,M1|M2|M3,0.516
D,25,M1-M2-M3,0.386
D,25,M1-M2|M3,0.408
D,25,M1|M2-M3,0.205
D,25,M1|M2|M3,0.00076
D,50,M1-M2-M3,0.25
D,50,M1-M2|M3,0.453
D,50,M1|M2-M3,0.295
D,50,M1|M2|M3,0.00134
D,75,M1-M2-M3,0.154
D,75,M1-M2|M3,0.641
D,75,M1|M2-M3,0.173
D,75,M1|M2|M3,0.0324
D,100,M1-M2-M3,0.0704
D,100,M1-M2|M3,0.0866
D,100,M1|M2-M3,0.0337
D,100,M1|M2|M3,0.807
E,0,M1-M2-M2B-M3,0.183
E,0,M1-M2-M2B|M3,0.16
E,0,M1-M2|M2B-M3,0.17
E,0,M1-M2|M2B|M3,0.136
E,0,M1|M2-M2B-M3,0.144
E,0,M1|M2-M2B|M3,0.125
E,0,M1|M2|M2B-M3,0.0809
E,0,M1|M2|M2B|M3,0.00106
E,25,M1-M2-M2B-M3,0.261
E,25,M1-M2-M2B|M3,0.289
E,25,M1-M2|M2B-M3,0.197
E,25,M1-M2|M2B|M3,0.0148
E,25,M1|M2-M2B-M3,0.12
E,25,M1|M2-M2B|M3,0.116
E,25,M1|M2|M2B-M3,1.04E-05
E,25,M1|M2|M2B|M3,0.00162
E,50,M1-M2-M2B-M3,0.208
E,50,M1-M2-M2B|M3,0.408
E,50,M1-M2|M2B-M3,0.162
E,50,M1-M2|M2B|M3,0.126
E,50,M1|M2-M2B-M3,0.0343
E,50,M1|M2-M2B|M3,0.0602
E,50,M1|M2|M2B-M3,1.03E-05
E,50,M1|M2|M2B|M3,0.000783
E,75,M1-M2-M2B-M3,0.02
E,75,M1-M2-M2B|M3,0.0654
E,75,M1-M2|M2B-M3,0.0536
E,75,M1-M2|M2B|M3,0.81
E,75,M1|M2-M2B-M3,0.00363
E,75,M1|M2-M2B|M3,0.0451
E,75,M1|M2|M2B-M3,0.0026
E,75,M1|M2|M2B|M3,1.04E-05
E,100,M1-M2-M2B-M3,0.147
E,100,M1-M2-M2B|M3,0.195
E,100,M1-M2|M2B-M3,0.175
E,100,M1-M2|M2B|M3,0.0872
E,100,M1|M2-M2B-M3,0.132
E,100,M1|M2-M2B|M3,0.182
E,100,M1|M2|M2B-M3,0.0834
E,100,M1|M2|M2B|M3,1.10E-05
